date,bank_holiday,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,school_holiday,feature_8,feature_9,feature_10,label
2006-11-20,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,653
2006-11-21,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,560
2006-11-22,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,567
2006-11-23,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,568
2006-11-24,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,881
2006-11-25,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1136
2006-11-26,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1744
2006-11-27,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,701
2006-11-28,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,552
2006-11-29,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,527
2006-11-30,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,500
2006-12-01,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,575
2006-12-02,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,904
2006-12-03,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1104
2006-12-04,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,581
2006-12-05,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,541
2006-12-06,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,544
2006-12-07,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,482
2006-12-08,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,754
2006-12-09,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1162
2006-12-10,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1205
2006-12-11,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,640
2006-12-12,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,646
2006-12-13,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,481
2006-12-14,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,490
2006-12-15,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,633
2006-12-16,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,917
2006-12-17,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1263
2006-12-18,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,594
2006-12-19,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,416
2006-12-20,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,553
2006-12-21,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,577
2006-12-22,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,649
2006-12-23,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,780
2006-12-24,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,383
2006-12-26,3,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,666
2006-12-27,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1410
2006-12-28,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,2000
